Dataset,Column,Missing_Count,Missing_Percentage
posts_1,url,0,0.0
posts_1,user_posted,0,0.0
posts_1,description,36,3.6
posts_1,hashtags,366,36.6
posts_1,num_comments,0,0.0
posts_1,date_posted,0,0.0
posts_1,likes,112,11.2
posts_1,photos,0,0.0
posts_1,videos,817,81.7
posts_1,location,737,73.7
posts_1,latest_comments,397,39.7
posts_1,post_id,0,0.0
posts_1,discovery_input,1000,100.0
posts_1,has_handshake,1000,100.0
posts_1,shortcode,0,0.0
posts_1,content_type,0,0.0
posts_1,pk,0,0.0
posts_1,content_id,0,0.0
posts_1,engagement_score_view,866,86.6
posts_1,thumbnail,0,0.0
posts_1,video_view_count,824,82.4
posts_1,product_type,866,86.6
posts_1,coauthor_producers,902,90.2
posts_1,tagged_users,712,71.2
posts_1,video_play_count,884,88.4
posts_1,followers,0,0.0
posts_1,posts_count,0,0.0
posts_1,profile_image_link,0,0.0
posts_1,is_verified,0,0.0
posts_1,is_paid_partnership,0,0.0
posts_1,partnership_details,0,0.0
posts_1,user_posted_id,0,0.0
posts_1,post_content,0,0.0
posts_1,audio,0,0.0
posts_1,profile_url,0,0.0
posts_1,videos_duration,775,77.5
posts_1,images,0,0.0
posts_1,alt_text,145,14.5
posts_1,photos_number,0,0.0
posts_1,audio_url,994,99.4
posts_2,url,0,0.0
posts_2,user_posted,0,0.0
posts_2,description,36,3.6
posts_2,hashtags,398,39.8
posts_2,num_comments,0,0.0
posts_2,date_posted,0,0.0
posts_2,likes,92,9.2
posts_2,photos,10,1.0
posts_2,videos,815,81.5
posts_2,location,767,76.7
posts_2,location_details,959,95.9
posts_2,latest_comments,418,41.8
posts_2,post_id,0,0.0
posts_2,discovery_input,976,97.6
posts_2,has_handshake,1000,100.0
posts_2,shortcode,0,0.0
posts_2,content_type,0,0.0
posts_2,pk,0,0.0
posts_2,content_id,0,0.0
posts_2,engagement_score_view,880,88.0
posts_2,thumbnail,31,3.1
posts_2,video_view_count,839,83.9
posts_2,product_type,819,81.9
posts_2,coauthor_producers,871,87.1
posts_2,tagged_users,710,71.0
posts_2,video_play_count,892,89.2
posts_2,followers,5,0.5
posts_2,posts_count,5,0.5
posts_2,profile_image_link,4,0.4
posts_2,is_verified,4,0.4
posts_2,is_paid_partnership,12,1.2
posts_2,partnership_details,78,7.8
posts_2,user_posted_id,15,1.5
posts_2,post_content,16,1.6
posts_2,audio,94,9.4
posts_2,profile_url,27,2.7
posts_2,videos_duration,786,78.6
posts_2,images,44,4.4
posts_2,alt_text,185,18.5
posts_2,photos_number,45,4.5
posts_2,audio_url,960,96.0
analytics,post_id,0,0.0
analytics,account_id,0,0.0
analytics,account_type,0,0.0
analytics,follower_count,0,0.0
analytics,media_type,0,0.0
analytics,content_category,0,0.0
analytics,traffic_source,0,0.0
analytics,has_call_to_action,0,0.0
analytics,post_datetime,0,0.0
analytics,post_date,0,0.0
analytics,post_hour,0,0.0
analytics,day_of_week,0,0.0
analytics,likes,0,0.0
analytics,comments,0,0.0
analytics,shares,0,0.0
analytics,saves,0,0.0
analytics,reach,0,0.0
analytics,impressions,0,0.0
analytics,engagement_rate,0,0.0
analytics,followers_gained,0,0.0
analytics,caption_length,0,0.0
analytics,hashtags_count,0,0.0
analytics,performance_bucket_label,0,0.0
reach,Unnamed: 0,0,0.0
reach,S.No,0,0.0
reach,USERNAME,0,0.0
reach,Caption,6,6.0
reach,Followers,0,0.0
reach,Hashtags,0,0.0
reach,Time since posted,0,0.0
reach,Likes,0,0.0
captions_1,Sr No,0,0.0
captions_1,Image File,0,0.0
captions_1,Caption,3415,16.65
captions_2,20516,0,0.0
captions_2,img2/insta20516,0,0.0
captions_2,wHaT dAy Is It Even #stayhomeclub,0,0.0
