caption,hashtags,caption_length,word_count,hashtag_count,posting_hour,day_of_week,is_weekend,follower_count,verified_status,sponsored,media_type,source_dataset,performance_class,binary_performance
"Beauty in every detail 💫 @juicyyr 
hair @bm_ninimarkozia 
Muah @mayya_mua 
#makeupgeorgia #макияжтбилиси #визажисттбилиси #makeuptbilisi",#makeupgeorgia #макияжтбилиси #визажисттбилиси #makeuptbilisi,136,14,4,17,Tuesday,0,9582,False,False,Carousel,real,Low,0
"Inusitado e 100% regional!

 Uma influenciadora viralizou ao preparar um ovo de Páscoa de açaí recheado com farinha e charque. 😮🍫🍚

Ela moldou o açaí batido em uma forma, levou ao congelador e, depois de desenformar, recheou com mais açaí, farinha e charque. O resultado? Um ""ovo salgado"" que já acumula quase 40 mil visualizações — e dividiu opiniões entre os internautas.

🗣️ ""A melhor ideia de ovo de Páscoa que já vi! Paraense é diferenciado""
🗣️ ""Eu sou paraense mas não gostaria de ganhar isso""

E você? Encara ou passa? 😅

🔗 Veja as notícias do Portal iG e acesse o Canal do Whatsapp no Link da Bio 📲

📹 Reprodução/ TikTok @patriciacosta

#PortaliG #OvoDePáscoa #Açaí #Paraense #CulináriaRegional #AçaíComCharque #Páscoa2025 #OvoSalgado",#PortaliG #OvoDePáscoa #Açaí #Paraense #CulináriaRegional #AçaíComCharque #Páscoa2025 #OvoSalgado,742,122,8,1,Friday,0,113268,True,False,Reel,real,Low,0
"One Hundred and One Dalmatians was the first feature film to solely use the Xerox process for transferring the animators’ drawings to cels 🐾

Prior to this, each one of the animators’ drawings had to be hand-traced in ink onto a cel - which would've been very time-consuming for a film with so many dogs!",,304,55,0,6,Thursday,0,270185,True,False,Carousel,real,Medium,0
"Acrílicos mini Haikyu 🏐✨
Modelos: Kageyama, Kuro, Kenma, Oikawa y Atsumu.
Precio unitario: 14 soles
Tamaño: 5cm aprox
~
~
~
~
~
~
~
~
~
~
~
~
~
~
#haikyuu #haikyu #haikyū #hinata #hinatashoyo #shoyohinata #karasuno #karasunovolleyballclub #karasunohigh #anime #otaku #animeworld #animes #animestyle #fan #tiendaonline #accesoriosanime #kageyama #kageyamatobio #tsukishima #nishinoya #bokuto #aobajohsai #aobajousai #aobajosai #oikawa #kenma #kenmakozume #nekoma #tsukishima",#haikyuu #haikyu #haikyū #hinata #hinatashoyo #shoyohinata #karasuno #karasunovolleyballclub #karasunohigh #anime #otaku #animeworld #animes #animestyle #fan #tiendaonline #accesoriosanime #kageyama #kageyamatobio #tsukishima #nishinoya #bokuto #aobajohsai #aobajousai #aobajosai #oikawa #kenma #kenmakozume #nekoma #tsukishima,473,62,30,7,Monday,0,3769,False,False,Carousel,real,High,1
"四季酒店推出父親節限定蛋糕，官網更有優惠碼推出，6 月 14 日前輸入優惠碼「FATHERSDAY20%」購買可以有 8 折，2 磅折後$1,280 ，今年買個有心思既蛋糕俾爸爸啦。想要四季官網連結，留言「cake」我地 Send 資料俾你。",,121,10,0,12,Tuesday,0,32063,False,False,Image,real,Low,0
"Story
宮本武蔵の鯨退治

「宮本武蔵決闘の日」に江戸の浮世絵師「歌川国芳」の代表作「宮本武蔵の鯨退治」のデザインのミニ財布「小さいふ」が登場。

歌川国芳の浮世絵「宮本武蔵の鯨退治」は弘化4年-嘉永３年(1847-1850)の作品。宮本武蔵の人間を超越した強さによって、鯨を退治したという伝説に基づき描かれたものです。

伝説によると宮本武蔵は海を渡る途中、大きな鯨に遭遇します。その巨体と力強さで周囲を恐怖させていた鯨に立ち向かい、壮絶な闘いを繰り広げた武蔵は、その闘いの中で巧妙な戦術を駆使して、鯨を退治したと言われています。

話の出どころは不明とされていますが、剣豪「宮本武蔵」のその、現実離れした強さから数々の武勇伝が誕生したのはないでしょうか。

NHK Eテレの世界の「びじゅつ」を歌とアニメで紹介する「びじゅチューン！」の『武蔵の遅刻理由』では巌流島での佐々木小次郎との決闘に武蔵が遅刻したエピソードを交えて「宮本武蔵の鯨退治」を面白く紹介しています。

歌川国芳
Utagawa Kuniyoshi

1797-1861。江戸時代末期を代表する浮世絵師。江戸日本橋の染物屋の家に生まれ12歳の頃に描いた鍾馗図が初代歌川豊国の目に止まり、程なく豊国門に入る。20代は不遇の時を過ごすが、31歳の頃、「水滸伝」を題材にした「通俗水滸伝豪傑百八人之一個」を版行。これが人気を呼び、「武者絵の国芳」と称された。
役者絵や美人画、風景画、ユーモアあふれる戯画など幅広いジャンルを手掛け、中でも3枚続の構図の武者絵や歴史画は大衆の心をつかんだ。親分肌な人柄から落合芳幾、月岡芳年、河鍋暁斎ら多くの優秀な門人を集めた。

#歌川国芳 #国芳 #浮世絵 #浮世絵師 #宮本武蔵 #宮本武蔵の鯨退治  #鯨 #クジラ #クアトロガッツ #小さいふ #ミニ財布 #コンパクト財布 #ミニウォレット #栃木レザー",#歌川国芳 #国芳 #浮世絵 #浮世絵師 #宮本武蔵 #宮本武蔵の鯨退治 #鯨 #クジラ #クアトロガッツ #小さいふ #ミニ財布 #コンパクト財布 #ミニウォレット #栃木レザー,807,27,14,8,Monday,0,16216,False,False,Image,real,Low,0
"Secrets can be so fun to keep but the wait is over! We have been working quietly on this project and are so thrilled to welcome you all to our newest Cocktail Bar, Dirty Pretty! Think - whimsical but moody - like our other bars, @pinkrabbitbar and @foolsandhorses got together and had a baby. We can’t wait to see you. Open tonight, 4:00!",,338,63,0,18,Tuesday,0,17168,False,False,Image,real,High,1
"HomePure Rayn – это усовершенствованная душевая лейка с фильтрами и специальными капсулами, которые удаляют загрязнения из водопроводной воды, питают волосы и кожу. 

Насладитесь душем, который зарядит вас бодростью с утра и придаст сил на весь день, или устройте себе спа-душ для крепкого сна.
@homepureofficial
____________________________
QNET – международная компания прямых продаж. Читай подробности в описании профиля!
#HomePureRayn",#HomePureRayn,438,57,1,9,Thursday,0,39883,True,False,Image,real,Low,0
"É AMANHÃ! 💖 Samba Summer Mix 2025 apresenta:
OFICINA DE AFROSAMBA com @egilioliveira

Egili Oliveira é atriz e professora de samba no pé. Artista premiada e conceituada em carnavais de todo o mundo, acumula os títulos de Rainha do Carnaval da Suécia; Madrinha do Carnaval da Finlândia; Rainha de bateria da União Parque Curicica; Rainha de bateria da GRES Vigário Geral, Musa da Renascer de Jacarepaguá e da São Clemente. 

 Viaja pelo mundo ministrando workshops de samba no pé, mas sem deixar de contemplar o Brasil, especialmente sua cidade, o Rio de Janeiro.

Desde de 2007 sendo uma das pioneiras em compartilhar a arte do samba em solos estrangeiros, atravessando fronteiras com nossa cultura, Egili é também idealizadora do projeto Samba Summer Mix e traz na construção de seu samba, o encontro consigo e com sua ancestralidade, a potência da mulher negra, da valorização de suas raízes. Esse encontro consigo mesma a fez querer compartilhar com outras mulheres o poder o samba, e foi assim que iniciou sua a ministrar aulas de AfroSamba, especialmente para crianças e adultas de comunidades próximas.

- LOCAL: JC Beach Point - Barra 23 - Praia do Leme (Av. Atlântica, 8 - Leme)
- DATA: QUARTA, 26/02
- HORÁRIO: de 7h30 às 14h30
- MAIS INFORMAÇÕES: envie uma mensagem direta para @egilioliveira",,1302,217,0,1,Wednesday,0,85820,True,False,Image,real,Medium,0
Still a favourite,,17,3,0,13,Wednesday,0,7705,False,False,Image,real,High,1
