Column_Number,Column_Name,Data_Type,Missing_Count,Missing_Percentage
1,post_id,str,0,0.0
2,account_id,str,0,0.0
3,category,str,0,0.0
4,account_type,str,0,0.0
5,follower_count,int64,0,0.0
6,following_count,int64,0,0.0
7,account_age_days,int64,0,0.0
8,verified_status,bool,0,0.0
9,posting_frequency,float64,0,0.0
10,average_historical_engagement,float64,0,0.0
11,caption,str,0,0.0
12,hashtags,str,0,0.0
13,caption_length,int64,0,0.0
14,word_count,int64,0,0.0
15,sentence_count,int64,0,0.0
16,hashtag_count,int64,0,0.0
17,emoji_count,int64,0,0.0
18,mention_count,int64,0,0.0
19,question_mark_count,int64,0,0.0
20,exclamation_count,int64,0,0.0
21,uppercase_ratio,float64,0,0.0
22,numeric_token_count,int64,0,0.0
23,url_present,int64,0,0.0
24,call_to_action,int64,0,0.0
25,caption_readability,float64,497,0.5
26,caption_sentiment,float64,0,0.0
27,caption_subjectivity,float64,0,0.0
28,keyword_density,float64,478,0.48
29,media_type,str,0,0.0
30,posting_date,str,0,0.0
31,posting_hour,int64,0,0.0
32,day_of_week,str,0,0.0
33,is_weekend,bool,0,0.0
34,posting_time_period,str,0,0.0
35,sponsored,bool,0,0.0
36,has_location,bool,0,0.0
37,has_mention,bool,0,0.0
38,has_image,bool,0,0.0
39,image_width,float64,2070,2.07
40,image_height,float64,1950,1.95
41,aspect_ratio,float64,2022,2.02
42,brightness,float64,3075,3.08
43,contrast,float64,3055,3.06
44,saturation,float64,3530,3.53
45,sharpness,float64,3108,3.11
46,colorfulness,float64,3020,3.02
47,face_count,float64,2576,2.58
48,text_in_image,float64,3084,3.08
49,visual_complexity,float64,3088,3.09
50,estimated_image_quality,float64,2995,3.0
51,likes,int64,0,0.0
52,comments,int64,0,0.0
53,shares,int64,0,0.0
54,saves,int64,0,0.0
55,reach,int64,0,0.0
56,impressions,int64,0,0.0
57,engagement_rate,float64,0,0.0
58,performance_class,str,0,0.0
59,binary_performance,int64,0,0.0
