Column,In_Real,In_Synthetic,Type_Real,Type_Synthetic
account_age_days,False,True,N/A,int64
account_id,False,True,N/A,str
account_type,False,True,N/A,str
aspect_ratio,False,True,N/A,float64
average_historical_engagement,False,True,N/A,float64
binary_performance,True,True,int64,int64
brightness,False,True,N/A,float64
call_to_action,False,True,N/A,int64
caption,True,True,str,str
caption_length,True,True,int64,int64
caption_readability,False,True,N/A,float64
caption_sentiment,False,True,N/A,float64
caption_subjectivity,False,True,N/A,float64
category,False,True,N/A,str
colorfulness,False,True,N/A,float64
comments,True,True,float64,int64
contrast,False,True,N/A,float64
day_of_week,True,True,str,str
emoji_count,False,True,N/A,int64
engagement_rate,True,True,float64,float64
estimated_image_quality,False,True,N/A,float64
exclamation_count,False,True,N/A,int64
face_count,False,True,N/A,float64
follower_count,True,True,int64,int64
following_count,False,True,N/A,int64
has_image,False,True,N/A,bool
has_location,False,True,N/A,bool
has_mention,False,True,N/A,bool
hashtag_count,True,True,int64,int64
hashtags,True,True,str,str
image_height,False,True,N/A,float64
image_width,False,True,N/A,float64
impressions,False,True,N/A,int64
is_weekend,True,True,int64,bool
keyword_density,False,True,N/A,float64
likes,True,True,float64,int64
media_type,True,True,str,str
mention_count,False,True,N/A,int64
numeric_token_count,False,True,N/A,int64
performance_class,True,True,str,str
post_id,True,True,str,str
posting_date,True,True,str,str
posting_frequency,False,True,N/A,float64
posting_hour,True,True,int64,int64
posting_time_period,False,True,N/A,str
posts_count,True,False,int64,N/A
question_mark_count,False,True,N/A,int64
reach,False,True,N/A,int64
saturation,False,True,N/A,float64
saves,False,True,N/A,int64
sentence_count,False,True,N/A,int64
shares,False,True,N/A,int64
sharpness,False,True,N/A,float64
source_dataset,True,False,str,N/A
sponsored,True,True,bool,bool
text_in_image,False,True,N/A,float64
uppercase_ratio,False,True,N/A,float64
url_present,False,True,N/A,int64
verified_status,True,True,bool,bool
visual_complexity,False,True,N/A,float64
word_count,True,True,int64,int64
