Strategy,Model,Training Records,Real Records,Synthetic Records,Accuracy,Precision,Recall,Weighted F1,Macro F1
Strategy A,Logistic Regression,1600,1600,0,0.39,0.3879199029126214,0.39,0.38635942530830447,0.3862857130676762
Strategy A,Linear SVM,1600,1600,0,0.3825,0.3804833614661201,0.3825,0.37813365933954557,0.378057297206217
Strategy A,Random Forest,1600,1600,0,0.465,0.4680464478791943,0.465,0.4661825306768704,0.4659242644148304
Strategy A,HistGradientBoosting,1600,1600,0,0.435,0.4382324862637363,0.435,0.4362248530456791,0.43600717868469857
Strategy B,Logistic Regression,3600,1600,2000,0.3925,0.3940288012126827,0.3925,0.39204828987945056,0.3920706120033286
Strategy B,Linear SVM,3600,1600,2000,0.385,0.3879924510877736,0.385,0.38268389004247616,0.38270079239941457
Strategy B,Random Forest,3600,1600,2000,0.4475,0.4525083249927108,0.4475,0.44912545831985334,0.4489144110140552
Strategy B,HistGradientBoosting,3600,1600,2000,0.4025,0.40665207459207453,0.4025,0.4042065721528395,0.4039229432174469
Strategy C,Logistic Regression,6600,1600,5000,0.37,0.3715747786344929,0.37,0.3700484553351221,0.3700490496573788
Strategy C,Linear SVM,6600,1600,5000,0.3925,0.39979334534079064,0.3925,0.3915924944484344,0.3915936187166282
Strategy C,Random Forest,6600,1600,5000,0.44,0.4405291889483066,0.44,0.440235512327146,0.44000092818143416
Strategy C,HistGradientBoosting,6600,1600,5000,0.4475,0.451468839944938,0.4475,0.44869933712121207,0.4484532828282828
Strategy D,Logistic Regression,11600,1600,10000,0.38,0.3826057692307693,0.38,0.3796702418112453,0.3797294138306704
Strategy D,Linear SVM,11600,1600,10000,0.3875,0.3997750295619858,0.3875,0.38257617154831647,0.3825986021195495
Strategy D,Random Forest,11600,1600,10000,0.445,0.44619404410961894,0.445,0.44535123132172155,0.44517138411661383
Strategy D,HistGradientBoosting,11600,1600,10000,0.46,0.46226499089253187,0.46,0.45984123646460134,0.45964268693193105
Strategy E,Logistic Regression,21600,1600,20000,0.3725,0.37322937031606385,0.3725,0.3724934654241177,0.37253332587057714
Strategy E,Linear SVM,21600,1600,20000,0.39,0.4056261259031438,0.39,0.3815325084266899,0.3815038118158787
Strategy E,Random Forest,21600,1600,20000,0.4275,0.4293884892086331,0.4275,0.42829647507858104,0.4281454646945158
Strategy E,HistGradientBoosting,21600,1600,20000,0.44,0.4448234637955284,0.44,0.4402829386087118,0.44008314647489905
Strategy F,Logistic Regression,51600,1600,50000,0.36,0.35936774373636254,0.36,0.3590958006187164,0.3591381326423375
Strategy F,Linear SVM,51600,1600,50000,0.3325,0.33896260729528616,0.3325,0.3201176578586919,0.3200697757609919
Strategy F,Random Forest,51600,1600,50000,0.4425,0.44345599880793785,0.4425,0.44293195741879954,0.4427795076917884
Strategy F,HistGradientBoosting,51600,1600,50000,0.43,0.4296738958782966,0.43,0.4281582121402389,0.42803689813557794
Strategy G,Logistic Regression,101600,1600,100000,0.335,0.3374133501047676,0.335,0.3350410267817884,0.3350308530493599
Strategy G,Linear SVM,101600,1600,100000,0.3275,0.3311169363027144,0.3275,0.3107772242057709,0.3106978043330419
Strategy G,Random Forest,101600,1600,100000,0.4325,0.43139452963116454,0.4325,0.4317900460962259,0.4315580798726866
Strategy G,HistGradientBoosting,101600,1600,100000,0.445,0.45130730380730383,0.445,0.4470991951924742,0.44694164891635874
