Feature,Coefficient_Magnitude
caption_about,0.8888333349113454
caption_do,0.7438644062381764
hashtag_funnydogs,0.7377269200698496
hashtag_travel,0.7234198801495646
caption_that,0.7125523831241178
caption_free,0.6914030176417865
hashtag_공구,0.6682643948437912
hashtag_saber,0.6649167863661772
caption_my,0.6493191647445097
caption_weekend,0.6398538989301542
caption_season,0.6293921876768314
hashtag_palestine,0.6155996626590937
caption_ready,0.6116192239922499
caption_link,0.6094727190131323
hashtag_repost,0.5870412941606721
caption_all,0.5751460477255265
caption_with,0.5676939922919256
hashtag_art,0.5654112123766823
hashtag_hairstyle,0.5649210538779836
caption_week,0.5556371000729342
hashtag_louisvuitton,0.5475287380319914
caption_new,0.5369812183332794
caption_fashion,0.5356388188148796
caption_next,0.523014950519117
hashtag_dog,0.5211066175874459
hashtag_news,0.5190271602644749
hashtag_selfcare,0.515891869582368
caption_follow,0.5123023858897929
caption_world,0.5081457704476782
caption_vintage denim,0.5034016979451718
caption_like,0.4986004514537677
hashtag_nato,0.4895267192919975
hashtag_wedding,0.4817129354528329
caption_every,0.47986559625354436
hashtag_freepalestine,0.47909909445624327
caption_your,0.47129633044826397
hashtag_contemporaryart,0.4670211384659841
caption_night,0.463698459603956
hashtag_luxuryliving,0.46034489758159375
caption_magic,0.4580588281617812
caption_full,0.4563095272822156
hashtag_vacation,0.4554368890553248
caption_friends,0.45511092413942494
hashtag_tourism,0.4524524730014246
hashtag_lowongankerja,0.44747500930283035
hashtag_indonesia,0.44635270864618154
hashtag_dogsofinstagram,0.4406284576638258
caption_everything,0.4405838172084091
caption_day,0.43980553371433845
hashtag_hermes,0.43587175784584103
caption_no,0.43474808646894775
hashtag_weekend,0.4343014393693747
hashtag_japan,0.433103438770614
hashtag_baby,0.42874103379611356
hashtag_writingcommunity,0.4233694478871797
hashtag_jerusalem,0.42206159897046297
media_type_Reel,0.419611721919074
hashtag_nofilter,0.41537486635849685
hashtag_ねこ,0.41412428056964634
hashtag_anxiety,0.40754931408184963
caption_best,0.4017807459655179
caption_the,0.3976777228738257
hashtag_healthyliving,0.39548048089221477
caption_for,0.393225921765173
caption_2025,0.3910538344380258
caption_pro,0.39021243413142553
caption_delicious,0.38482965073090564
hashtag_تخرج,0.3832232346151238
hashtag_الكويت,0.3832232346151238
hashtag_kerala,0.38265083872260064
hashtag_นทร,0.38229286202928375
hashtag_lgbt,0.38092163934863765
caption_creativity,0.38073094247347156
hashtag_israel,0.3764814413871669
hashtag_artistsoninstagram,0.3736330704053068
caption_vibes,0.3728920142224368
caption_think,0.36998093860572295
caption_or,0.3698272882977232
hashtag_travelgram,0.3675480482814036
hashtag_aesthetic,0.3670707590871735
hashtag_friends,0.3665107979169
caption_code,0.36496276571097863
caption_music,0.3637055530247979
hashtag_sea,0.3615801065192117
caption_gold,0.3594677075224501
hashtag_naturephotography,0.35863598986265366
hashtag_foryoupage,0.35664768637056304
hashtag_newyork,0.35488375468085503
caption_denim,0.35450255328697455
caption_guide,0.35351911251751816
caption_understanding,0.35342380171228954
caption_in,0.35296061811567997
