Model,Dataset,Accuracy,Precision,Recall,Weighted_F1,Macro_F1
Dummy Classifier,Real,0.3402,0.1157,0.3402,0.1727,0.1692
Dummy Classifier,Synthetic,0.3398,0.1155,0.3398,0.1724,0.1691
Dummy Classifier,Combined,0.3399,0.1155,0.3399,0.1724,0.0
Logistic Regression,Real,0.4304,0.4358,0.4304,0.4318,0.4315
Logistic Regression,Synthetic,0.4503,0.4455,0.4503,0.4451,0.4444
Logistic Regression,Combined,0.4499,0.4452,0.4499,0.445,0.0
Linear SVM,Real,0.4227,0.4272,0.4227,0.4235,0.4235
Linear SVM,Synthetic,0.4509,0.4449,0.4509,0.4428,0.442
Linear SVM,Combined,0.4504,0.4445,0.4504,0.4427,0.0
Random Forest,Real,0.4098,0.4382,0.4098,0.4147,0.4145
Random Forest,Synthetic,0.4437,0.434,0.4437,0.4214,0.4204
Random Forest,Combined,0.4431,0.4331,0.4431,0.4219,0.0
Extra Trees,Real,0.3892,0.4288,0.3892,0.3676,0.3621
Extra Trees,Synthetic,0.4429,0.4313,0.4429,0.4128,0.4117
Extra Trees,Combined,0.4419,0.4303,0.4419,0.4122,0.0
