record_index,pc1,pc2,dataset_source
34380,11.045611,-8.207152,instagram_data2
8893,1.0323042,13.734858,instagram_data
30069,-7.5231667,-2.0223954,instagram_data2
4063,12.085989,-12.722912,instagram_data
27532,2.8345842,-4.715773,instagram_data2
18185,-4.1579227,7.107824,instagram_data
7712,-7.601493,6.384637,instagram_data
536,-6.57575,-6.1122684,instagram_data
11139,-11.390818,-0.6567594,instagram_data
23965,-13.192638,-2.8836722,instagram_data2
8876,-4.727796,0.12688929,instagram_data
9640,0.06494675,13.604442,instagram_data
3491,-9.759158,2.4374523,instagram_data
12245,-8.064034,4.546977,instagram_data
28858,1.1959099,4.440011,instagram_data2
15614,-3.6557372,-10.721427,instagram_data
8647,-5.58658,1.2138395,instagram_data
12250,-0.6862453,1.4972456,instagram_data
7277,1.3228748,7.549788,instagram_data
9905,10.324798,2.8225894,instagram_data
8353,19.641888,2.049942,instagram_data
13926,7.1889453,2.8591225,instagram_data
26797,7.2340474,-2.0850816,instagram_data2
29445,-5.3465557,-4.8804083,instagram_data2
20316,-5.808662,-2.7369072,instagram_data
30913,-10.524269,-0.869801,instagram_data2
27832,3.3648176,-13.103505,instagram_data2
25557,6.2777934,-3.1103544,instagram_data2
23930,-12.5391445,0.77624214,instagram_data2
18841,6.596704,-4.0698433,instagram_data
15163,16.390316,16.209745,instagram_data
24659,-8.296426,0.11882506,instagram_data2
14935,12.615626,-12.5979,instagram_data
9206,-7.747154,-2.6457593,instagram_data
24612,0.48359603,-7.997515,instagram_data2
25535,6.9416413,-2.476046,instagram_data2
297,8.392001,0.23041701,instagram_data
17178,8.324001,-11.5151205,instagram_data
25447,1.3639976,0.13014953,instagram_data2
10448,-5.6263437,-5.9633875,instagram_data
30501,8.710343,-3.2892637,instagram_data2
19745,3.1215029,-0.7762957,instagram_data
2628,-0.7509117,5.2065153,instagram_data
1616,5.9941883,-8.933115,instagram_data
26093,-6.7628636,5.299756,instagram_data2
8715,-7.610101,-1.4614266,instagram_data
17718,0.424489,-9.948765,instagram_data
32512,-12.639449,0.11826042,instagram_data2
2765,-0.26971453,-2.8156915,instagram_data
23205,-12.298054,-0.8959266,instagram_data2
30938,5.7584834,5.5546465,instagram_data2
30176,2.1557782,-3.0530438,instagram_data2
8410,-2.6856172,-1.4306653,instagram_data
31457,3.183726,1.5760645,instagram_data2
33451,-3.7741919,-3.7005327,instagram_data2
21934,9.856707,5.3583465,instagram_data2
2349,2.8420064,-8.6767845,instagram_data
27581,-1.3939905,8.971685,instagram_data2
18058,10.228259,-12.84928,instagram_data
21705,4.8674355,-4.9050593,instagram_data2
13322,-5.4986334,-5.2700477,instagram_data
4789,-12.55433,-1.6073301,instagram_data
4489,2.1302297,-5.579105,instagram_data
19766,-0.06137743,10.571879,instagram_data
15503,-3.196032,-1.6560638,instagram_data
16406,-2.2037911,10.312871,instagram_data
9333,-3.766355,-4.2653046,instagram_data
32894,0.22205652,3.1585548,instagram_data2
251,3.2409053,6.228636,instagram_data
14126,2.9251676,-9.079862,instagram_data
387,-2.5052695,-2.7523093,instagram_data
15498,2.469458,-4.737146,instagram_data
24411,-8.125257,1.6731912,instagram_data2
2826,4.9792876,10.967742,instagram_data
26014,-11.834051,-5.0482097,instagram_data2
13928,8.051616,13.127248,instagram_data
11263,-15.99092,-2.9837046,instagram_data
19443,8.64673,-14.148042,instagram_data
11493,-13.162624,-3.6656613,instagram_data
6046,4.225762,0.023649087,instagram_data
34787,-4.815164,-8.1993265,instagram_data2
3003,2.54858,3.9166758,instagram_data
11162,-3.7799828,-9.070891,instagram_data
32525,-3.377781,-4.529766,instagram_data2
33486,5.407025,9.066714,instagram_data2
5287,-4.106936,6.429919,instagram_data
26420,-3.3529859,-3.701844,instagram_data2
30481,-4.8040643,7.9348345,instagram_data2
27076,0.902165,1.5766953,instagram_data2
15496,-1.3862759,-12.923006,instagram_data
17020,2.1189592,10.404347,instagram_data
7677,13.573624,5.7370915,instagram_data
34405,-3.1746986,1.4353836,instagram_data2
28246,-9.40377,-0.097541444,instagram_data2
26074,-5.3951325,-0.62569165,instagram_data2
8364,-4.934957,-3.2438498,instagram_data
34114,6.1078,-3.112828,instagram_data2
32484,-5.786196,-1.4760449,instagram_data2
111,19.74185,-7.653483,instagram_data
24280,-4.91421,-3.54251,instagram_data2
13736,4.933481,7.1268444,instagram_data
5003,5.674579,-1.4448642,instagram_data
15811,8.2621,13.936781,instagram_data
471,0.3570283,-2.9871912,instagram_data
28575,11.645881,-0.23356946,instagram_data2
29606,-5.2225914,2.54863,instagram_data2
