feature_index,mean,std,minimum,maximum
0,0.08309938,0.17062512,0.0,2.8948343
1,0.025142388,0.10232695,0.0,3.1343272
2,0.14514601,0.24714836,0.0,3.8526847
3,0.15323843,0.45902047,0.0,7.1354475
4,0.2717271,0.5565751,0.0,8.000671
5,0.06757512,0.15580647,0.0,2.8533337
6,0.10027089,0.27604395,0.0,8.767142
7,1.161495,1.3355354,0.0,11.39003
8,0.08715147,0.23475997,0.0,4.202854
9,0.0291848,0.09502974,0.0,2.905126
10,0.09205373,0.22738989,0.0,3.9478147
11,0.02598129,0.10527519,0.0,5.046027
12,0.0635429,0.16014229,0.0,3.3322682
13,0.08852717,0.17590366,0.0,4.4792323
14,0.0813235,0.19542643,0.0,2.6815155
15,0.13306813,0.30393627,0.0,5.304215
16,0.05012607,0.14840873,0.0,3.431851
17,0.029309122,0.14373991,0.0,5.8991156
18,0.031160478,0.121544175,0.0,4.195008
19,0.11433265,0.3176752,0.0,6.7255535
20,0.036044426,0.10589798,0.0,2.3678854
21,0.2233574,0.42733508,0.0,4.3533134
22,0.106382385,0.23259737,0.0,3.869145
23,0.05738845,0.14133738,0.0,2.7912772
24,0.041347675,0.12521616,0.0,2.6095622
25,0.049802694,0.15299083,0.0,2.7591774
26,0.28782067,0.4224689,0.0,4.6945558
27,0.040100515,0.12696151,0.0,3.1771464
28,0.1000294,0.20831189,0.0,2.94495
29,0.06950322,0.14725962,0.0,4.4630275
30,0.01883806,0.08290783,0.0,2.4300203
31,0.24064422,0.4923118,0.0,10.201593
32,0.38522246,0.5664771,0.0,6.0217156
33,0.1759678,0.28180495,0.0,4.0289426
34,0.086667754,0.24253555,0.0,3.9931898
35,0.15439542,0.39694083,0.0,6.5237846
36,0.05987482,0.16101855,0.0,3.1167274
37,0.017760567,0.10432904,0.0,3.2926953
38,0.17951944,0.34916535,0.0,5.428961
39,0.064804524,0.16244017,0.0,3.4760852
40,0.04993907,0.124220565,0.0,2.6055553
41,0.028676948,0.10071363,0.0,3.0570009
42,0.10979747,0.31243157,0.0,8.860014
43,0.014382224,0.07423878,0.0,2.8190713
44,0.0662324,0.15164527,0.0,5.546387
45,0.034363564,0.1391027,0.0,4.6522756
46,0.078755535,0.1834697,0.0,2.6394274
47,0.08130917,0.22599672,0.0,3.486033
48,0.03361554,0.12283145,0.0,2.9333737
49,0.4189817,0.724058,0.0,6.8326683
50,0.010960986,0.05006699,0.0,1.5612838
51,0.22018386,0.36775133,0.0,5.2111783
52,0.043754764,0.13964221,0.0,3.7607613
53,0.25647813,0.5174783,0.0,5.6798244
54,0.20018238,0.28264403,0.0,3.2663627
55,0.065943606,0.18640354,0.0,4.304573
56,0.026990237,0.085282125,0.0,2.5025263
57,0.039723724,0.105159596,0.0,2.4347405
58,0.05037928,0.12670462,0.0,1.6469351
59,0.06324382,0.17468208,0.0,2.9710252
60,0.17401485,0.3311137,0.0,7.3553195
61,0.09174274,0.19525118,0.0,2.8157318
62,0.09406224,0.17605266,0.0,2.120029
63,0.12059474,0.31217122,0.0,4.629492
64,0.23746373,0.44552186,0.0,6.05352
65,0.023069201,0.09605309,0.0,2.384467
66,0.21732971,0.49630496,0.0,9.256216
67,0.10866187,0.22733986,0.0,3.5876207
68,0.027205033,0.091864824,0.0,3.3339047
69,0.031821784,0.08593271,0.0,1.7914292
70,0.039622612,0.12209053,0.0,3.8094165
71,0.019014742,0.056321125,0.0,1.3168421
72,0.04437425,0.11062469,0.0,2.299659
