feature_index,variance
184,4.1895127
1409,1.9746892
156,1.8877298
1148,1.8549193
7,1.7836548
190,1.5975792
1154,1.2630312
1591,1.207364
1967,1.1342216
1536,1.0053439
1454,0.93670577
465,0.9255691
1408,0.9057882
160,0.882969
821,0.8695715
1252,0.85561424
1926,0.8519599
1160,0.8456611
1575,0.82791334
1499,0.82237
1574,0.8184447
173,0.8170943
107,0.8163304
1436,0.8069056
101,0.7975409
792,0.77672654
594,0.75989467
692,0.7586226
519,0.75611514
109,0.7516602
548,0.7474189
1832,0.73109466
1945,0.69235533
81,0.6456675
115,0.6141153
158,0.5503777
1457,0.5500486
1058,0.54465115
49,0.5242599
84,0.5200758
1216,0.5147855
1351,0.5009509
1146,0.49903867
142,0.4937151
1539,0.49007007
2034,0.47490305
1975,0.46622503
123,0.46461818
1187,0.46370548
809,0.46286598
133,0.44785905
1316,0.44538537
2025,0.44035953
549,0.44003952
578,0.43136993
762,0.42938507
1092,0.4290597
103,0.42750457
1531,0.4268314
1633,0.42519215
1688,0.41392118
765,0.41315404
777,0.40497428
1946,0.40439892
814,0.40356782
1971,0.40330228
1529,0.3939682
80,0.39259413
699,0.38890693
1996,0.38859007
1554,0.37956962
1545,0.3781012
1278,0.37655956
208,0.3750139
645,0.37315574
947,0.3699918
989,0.36812526
1226,0.36598903
1636,0.36342397
949,0.36265415
1560,0.36257088
1407,0.36250973
800,0.36088333
963,0.35988453
1801,0.35973823
188,0.358075
1728,0.35048553
472,0.35038885
287,0.35002512
1710,0.34450352
896,0.33657923
1840,0.3342879
1523,0.33411288
1054,0.3329624
162,0.33020726
640,0.3259408
691,0.32556692
1159,0.32541227
1371,0.32168043
883,0.32137847
32,0.32089633
1451,0.32007676
932,0.31309825
76,0.31286198
4,0.30977586
282,0.307341
1426,0.30204144
733,0.30199322
903,0.29861322
980,0.29738134
1051,0.29648882
771,0.29635343
186,0.2910809
255,0.28619257
1908,0.28558078
1842,0.28004402
704,0.27812973
1713,0.27536562
214,0.27376977
272,0.2715039
1736,0.26991892
53,0.2677838
285,0.2653759
601,0.26505187
349,0.2626929
1167,0.26165873
233,0.2587712
1632,0.25832382
1431,0.2566605
671,0.2550384
779,0.25418818
534,0.25347623
211,0.25337943
1020,0.25210062
1073,0.25147393
2004,0.25128978
1705,0.25127566
462,0.24703516
66,0.24631861
1289,0.24503282
897,0.24475364
1419,0.24475124
971,0.24439555
31,0.24237092
1479,0.24121651
1893,0.2412135
325,0.24016064
1621,0.23728697
978,0.23272716
1835,0.2325365
1551,0.23048499
1429,0.2284547
725,0.22804691
1165,0.22560099
1123,0.22472426
391,0.2228177
1458,0.22232237
912,0.22075908
684,0.2205548
620,0.2191271
1132,0.21870904
571,0.21797623
881,0.21536237
309,0.21457528
1232,0.21412964
1582,0.21367595
1011,0.21274118
1468,0.21131791
236,0.21120983
3,0.21069978
