Feature,Mutual_Information,Unique_Values,Missing_Count
hashtags,1.0969769385776222,99995,0
posting_datetime,1.0573060301351984,95484,0
caption,0.9005091795280336,67988,0
posting_time_period,0.050306262378989726,5,0
category,0.005296948680136415,5,0
media_type,0.0031147734679504435,4,0
day_of_week,0.001778472517305063,7,0
is_weekend,0.0016986171697202512,2,0
verified_status,0.0005310150800834496,2,0
account_type,0.00016456768592303106,5,0
has_location,0.00010221999126802661,2,0
has_image,6.457036231720219e-05,2,0
sponsored,2.3519602369417858e-05,2,0
has_mention,2.295988728390208e-06,2,0
