Feature,F_Score,P_Value,Significant
caption_engagement_intent,36642.19345807625,0.0,True
call_to_action,35575.84733982679,0.0,True
word_count,35273.99987472293,0.0,True
content_quality_score,30889.40442376821,0.0,True
caption_length,27751.6778608833,0.0,True
sentence_count,17568.517767652855,0.0,True
caption_readability,13031.188924472224,0.0,True
caption_subjectivity,9312.207952260665,0.0,True
question_mark_count,5775.261470755017,0.0,True
caption_sentiment,4347.986508741667,0.0,True
uppercase_ratio,3333.0332607418036,0.0,True
posting_hour,3006.227334552699,0.0,True
keyword_density,368.06970267408246,5.4308378645264435e-160,True
hashtag_count,263.3138658587925,8.79653385977483e-115,True
unique_hashtag_count,258.98759274569363,6.507668447192109e-113,True
creator_activity_score,165.22170812830498,2.308987156986161e-72,True
content_consistency,87.72535585408946,8.604906468005205e-39,True
follower_count,22.80867312153889,1.2490443494770015e-10,True
average_historical_engagement,3.3421999053499394,0.035363035335012796,False
