,word_count,caption_engagement_intent,caption_readability,content_quality_score,call_to_action,caption_length,uppercase_ratio,sentence_count,caption_subjectivity,posting_hour,question_mark_count,caption_sentiment,keyword_density,hashtag_count,unique_hashtag_count,creator_activity_score,content_consistency,average_historical_engagement,follower_count
word_count,1.0,0.5961162913170586,0.5387342429769195,0.6329979621746539,0.6959850403183852,0.9353188959643095,0.27847329978999363,0.716203628450133,0.2575560570427935,0.02490940768348839,0.13636535191836988,0.385985585512643,-0.15948239894866487,-0.0007330915662286824,-0.004455963532041447,-0.0029657982210569635,-0.0014963048327278727,0.0021050449935963987,0.003548015125036038
caption_engagement_intent,0.5961162913170586,1.0,0.2874742191954481,0.663778836946157,0.8270370791198031,0.635398266201297,0.2704602360023465,0.6007291086804167,0.6246453319924062,0.003998575892746456,0.5890256104020835,0.33154176795583457,-0.08155534206508334,-0.0004316127934978202,-0.0010048850829788725,-0.001256454334107901,-0.0006275118139816282,0.0039057786594561923,-0.0026182456894437425
caption_readability,0.5387342429769195,0.2874742191954481,1.0,0.7844398564994992,0.2952510708182866,0.29565513874598204,0.3113787299788241,0.30547963032602,0.17147877917057938,0.03488095189348066,0.15677056758782673,0.1189970584116696,-0.1322376676396156,-0.0015373438475350654,-0.0059511742505261745,-0.0075542309383976,-0.003553496702578424,-3.277728563585005e-06,0.005761080351692533
content_quality_score,0.6329979621746539,0.663778836946157,0.7844398564994992,1.0,0.5858756725286807,0.49434243759490387,0.33317304657441094,0.48429340191145714,0.41061370338113046,0.024115216665094825,0.3834749113024678,0.23749222652818455,-0.12419678299810184,0.05343706198027221,0.05007771910107731,-0.0052264837357861435,-0.002173995730866077,0.0024598597200619263,-0.0013152853725014273
call_to_action,0.6959850403183852,0.8270370791198031,0.2952510708182866,0.5858756725286807,1.0,0.7074271577269885,0.23454809723775757,0.5697800077924887,0.2991317318045149,0.0028276503305642874,0.24474264271270832,0.19894030002922064,-0.05131843507732696,0.0006257669431707435,0.0006986169913058922,-0.0022389440576327194,-0.00010737517859250185,0.0018358024950150562,0.0025378900653132757
caption_length,0.9353188959643095,0.635398266201297,0.29565513874598204,0.49434243759490387,0.7074271577269885,1.0,0.2021786454664222,0.7785160354419103,0.2950577669496734,0.013862333277424331,0.16868123785829292,0.38836634549836974,-0.14587671631915305,-0.00031083754559586304,-0.0026365688159056284,-0.0005103335925723194,0.00033129614428370924,0.002458836378191394,0.0020016565553215683
uppercase_ratio,0.27847329978999363,0.2704602360023465,0.3113787299788241,0.33317304657441094,0.23454809723775757,0.2021786454664222,1.0,0.4183118595773718,0.2116815215504721,0.024939586088031,0.27282715677837993,-0.045779535776662,0.008688867371790577,-0.00022730777626727702,-0.003657673313907977,-0.001323881467433949,-0.0030369621455289975,0.0034582699950963924,0.005223772732954272
sentence_count,0.716203628450133,0.6007291086804167,0.30547963032602,0.48429340191145714,0.5697800077924887,0.7785160354419103,0.4183118595773718,1.0,0.307018851487497,0.029129973848973947,0.28487318908302756,0.192145734586352,-0.10349922821500909,0.00046513440742262084,-0.004258198758296985,0.0019060789040762061,0.0001711174027439615,0.0022615298514866516,0.0016173974463301703
caption_subjectivity,0.2575560570427935,0.6246453319924062,0.17147877917057938,0.41061370338113046,0.2991317318045149,0.2950577669496734,0.2116815215504721,0.307018851487497,1.0,0.006764619177154776,0.8035588993612808,0.44477321863050195,-0.08024031216407934,0.0017705281362293825,0.0002687440163785949,0.002372236881360424,-0.0020809568109708774,0.004477844948863242,-0.004712739592986525
posting_hour,0.02490940768348839,0.003998575892746456,0.03488095189348066,0.024115216665094825,0.0028276503305642874,0.013862333277424331,0.024939586088031,0.029129973848973947,0.006764619177154776,1.0,0.011642594046789589,-0.0028319363186611016,0.0027537328961576998,0.002394740496689398,-0.0006764502438283387,0.0005425986372427185,-0.003003551174696221,0.0027643810386612827,-0.0005745190254862442
question_mark_count,0.13636535191836988,0.5890256104020835,0.15677056758782673,0.3834749113024678,0.24474264271270832,0.16868123785829292,0.27282715677837993,0.28487318908302756,0.8035588993612808,0.011642594046789589,1.0,-0.07352669137019911,-0.10217549390577703,0.00041020732010779395,-0.0013479394954795357,-0.00033685030983942547,-0.0018593585508088842,0.003624892347507683,-0.0055366487647880575
caption_sentiment,0.385985585512643,0.33154176795583457,0.1189970584116696,0.23749222652818455,0.19894030002922064,0.38836634549836974,-0.045779535776662,0.192145734586352,0.44477321863050195,-0.0028319363186611016,-0.07352669137019911,1.0,-0.04766902263728554,0.0004970692590822774,0.000410412732026787,0.0028149746405567275,3.693662213641565e-05,0.001940789377989321,-0.001055086872041678
keyword_density,-0.15948239894866487,-0.08155534206508334,-0.1322376676396156,-0.12419678299810184,-0.05131843507732696,-0.14587671631915305,0.008688867371790577,-0.10349922821500909,-0.08024031216407934,0.0027537328961576998,-0.10217549390577703,-0.04766902263728554,1.0,0.005184448532397182,0.00522016727431647,-0.004418864277493413,-0.006096732368430178,0.004869583582758819,0.00039921259482812114
hashtag_count,-0.0007330915662286824,-0.0004316127934978202,-0.0015373438475350654,0.05343706198027221,0.0006257669431707435,-0.00031083754559586304,-0.00022730777626727702,0.00046513440742262084,0.0017705281362293825,0.002394740496689398,0.00041020732010779395,0.0004970692590822774,0.005184448532397182,1.0,0.9883236670330654,0.0019044998848477723,0.001118720957421444,-0.002059768521299331,-0.0035117936599001077
unique_hashtag_count,-0.004455963532041447,-0.0010048850829788725,-0.0059511742505261745,0.05007771910107731,0.0006986169913058922,-0.0026365688159056284,-0.003657673313907977,-0.004258198758296985,0.0002687440163785949,-0.0006764502438283387,-0.0013479394954795357,0.000410412732026787,0.00522016727431647,0.9883236670330654,1.0,0.001137448353579508,0.0004472057710313169,-0.002597486295336313,-0.0036875253620932786
creator_activity_score,-0.0029657982210569635,-0.001256454334107901,-0.0075542309383976,-0.0052264837357861435,-0.0022389440576327194,-0.0005103335925723194,-0.001323881467433949,0.0019060789040762061,0.002372236881360424,0.0005425986372427185,-0.00033685030983942547,0.0028149746405567275,-0.004418864277493413,0.0019044998848477723,0.001137448353579508,1.0,0.5023984829885251,-0.0025438468500144145,0.01761860613970196
