Feature,Low_Min,Low_Max,Medium_Min,Medium_Max,High_Min,High_Max
word_count,6.0,25.0,6.0,26.0,7.0,28.0
caption_engagement_intent,0.0,0.8,0.0,0.8,0.0,0.8
caption_readability,0.0,100.0,1.85,100.0,10.84,100.0
content_quality_score,0.15,0.8999,0.3062,0.9226,0.4191,0.94
call_to_action,0.0,1.0,0.0,1.0,0.0,1.0
caption_length,40.0,142.0,40.0,156.0,49.0,157.0
uppercase_ratio,0.0167,0.0889,0.0167,0.0943,0.0179,0.0943
sentence_count,1.0,5.0,1.0,5.0,1.0,5.0
caption_subjectivity,0.0,0.5,0.0,0.5,0.0,0.5
posting_hour,0.0,23.0,0.0,23.0,0.0,23.0
question_mark_count,0.0,2.0,0.0,3.0,0.0,3.0
caption_sentiment,-0.1,1.0,-0.1,1.0,-0.1,1.0
keyword_density,0.8182,1.0,0.8125,1.0,0.8,1.0
hashtag_count,4.0,12.0,4.0,12.0,4.0,12.0
unique_hashtag_count,3.0,12.0,3.0,12.0,3.0,12.0
creator_activity_score,0.15,0.9437,0.15,0.9169,0.15,0.9375
content_consistency,0.15,0.9971434248787736,0.15,0.9971434248787736,0.15,0.9971434248787736
average_historical_engagement,0.0052139998299429,0.1201327247638438,0.0052139998299429,0.1201327247638438,0.0052139998299429,0.1201327247638438
follower_count,80.0,2008208.0,80.0,4428130.0,80.0,4428130.0
